Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,IWM,SPY,IWM,SPY,IWM,SPY,IWM,SPY,IWM,SPY
Date,,,,,,,,,,
2000-01-03,,92.4149169921875,,94.20205548150784,,91.42206227589841,,94.20205548150784,,8164300
2000-01-04,,88.80094909667969,,91.541228831774,,88.73144924832584,,91.20365813976963,,8089800
2000-01-05,,88.95980834960938,,89.93280625343323,,87.21238354274205,,88.9200941494533,,12177900
2000-01-06,,87.53006744384766,,89.91291864467836,,87.53006744384766,,88.721493044263,,6227200
2000-01-07,,92.61351776123047,,92.61351776123047,,88.99952543006754,,89.15838223583293,,8066500
2000-01-10,,92.93121337890625,,93.34821241329878,,92.1567866007487,,92.93121337890625,,5741700
2000-01-11,,91.81922149658203,,92.83193349838257,,91.18379435819737,,92.65321961571188,,7503700
2000-01-12,,90.9057846069336,,91.87878230150322,,90.78664203208834,,91.87878230150322,,6907700
2000-01-13,,92.13689422607422,,92.61346436862287,,91.04475431606687,,91.79932370843558,,5158300
2000-01-14,,93.38790130615234,,93.70561477008991,,92.75247437827717,,93.10990202520695,,7437300
2000-01-18,,92.65318298339844,,93.16946732921248,,92.25604117892608,,92.35532663004417,,6488500
2000-01-19,,93.40778350830078,,93.4077835083008,,92.13692931090894,,92.33550027925142,,6157900
2000-01-20,,91.97809600830078,,93.38795024331576,,91.3823829512522,,93.38795024331576,,5800100
2000-01-21,,91.77951049804688,,92.4546518561026,,91.54122531285073,,92.4546518561026,,6244800
2000-01-24,,89.17822265625,,92.6730717293963,,88.58250974605461,,92.55392914735722,,7896900
2000-01-25,,90.19093322753906,,90.19093322753906,,88.32436613740505,,89.28743532752738,,9942500
2000-01-26,,89.47607421875,,89.94271597288684,,89.01936101257351,,89.5952167942743,,5158100
2000-01-27,,89.11866760253906,,90.36966494187952,,87.76838476007634,,90.1313797343861,,10922700
2000-01-28,,86.33868408203125,,88.99953589136707,,86.12025594842906,,88.60239383027218,,11916200
2000-01-31,,88.68181610107422,,88.7513159569528,,85.78267925585325,,86.29896389952273,,10768700
2000-02-01,,89.55551147460938,,90.03208182391992,,88.02651493723799,,88.80094175486765,,8419900
2000-02-02,,89.63493347167969,,90.38950313759103,,89.19807734930995,,89.77393314697915,,6205900
2000-02-03,,90.98521423339844,,91.02492842555618,,88.95979043335333,,89.5157891235618,,7997500
2000-02-04,,90.60791778564453,,91.50148699457593,,90.31006138266739,,90.9852025627489,,4925400
2000-02-07,,90.46890258789062,,90.72704475945396,,89.87318988428291,,90.58804512861217,,5845800
2000-02-08,,91.70008850097656,,91.8589453021909,,91.26323229763715,,91.48166039930686,,4936400
2000-02-09,,89.7739028930664,,91.79932605057421,,89.76397434817666,,91.79932605057421,,8511500
2000-02-10,,89.95264434814453,,90.58807141638749,,89.5157882387275,,89.99235853990972,,6690600
2000-02-11,,88.12579345703125,,90.19093147405046,,87.70879443436391,,90.13136018509798,,9849800
2000-02-14,,88.64208221435547,,88.82079608978763,,87.88751251808631,,88.82079608978763,,8528800
2000-02-15,,89.64482879638672,,89.73418569739098,,87.5598344396206,,88.48318908333131,,11078300
2000-02-16,,88.32437133789062,,89.55551140599972,,88.1953002017179,,89.19808364429063,,8845400
2000-02-17,,87.86766052246094,,89.23780031365864,,87.82794632561463,,89.23780031365864,,7584200
2000-02-18,,85.9812240600586,,88.24493296140886,,85.54436795628924,,88.24493296140886,,9409200
2000-02-22,,85.7627944946289,,86.6365066867483,,84.84936811195863,,85.90179416155699,,16415400
2000-02-23,,86.7755355834961,,87.35139154045751,,85.46496685385978,,86.1798225245705,,12119000
2000-02-24,,85.02810668945312,,87.07338809744324,,84.57139336533882,,86.85495998591031,,17375000
2000-02-25,,84.72027587890625,,86.87477017935423,,84.59120479178263,,85.90177275334547,,10559900
2000-02-28,,86.49752044677734,,86.85494821721856,,84.33309672577212,,84.7500957912869,,13397800
2000-02-29,,87.33148193359375,,87.33148193359374,,86.25919907219901,,86.45776997245729,,8242500
2000-03-01,,87.96696472167969,,88.32439256930728,,87.19253771848658,,87.45068005288428,,6868000
2000-03-02,,88.02655029296875,,88.40383530437556,,87.27198027015511,,88.12583582228632,,7600200
2000-03-03,,89.67466735839844,,90.051952274211,,88.78109782094761,,89.23781114008914,,12770300
2000-03-06,,88.80094909667969,,89.8136611726928,,88.16552191173028,,89.47609048068843,,11967100
2000-03-07,,87.08330535888672,,89.05908665707604,,85.92166509814224,,88.95980116470471,,20062000
2000-03-08,,86.97409057617188,,87.5896606236288,,85.80252177617322,,86.71594829820607,,11808500
2000-03-09,,89.5157699584961,,89.5157699584961,,86.49749200071184,,87.21234730650285,,5500900
2000-03-10,,89.0392074584961,,90.23063307123243,,88.66192268112958,,89.0789216455873,,7924600
2000-03-13,,88.06623840332031,,89.25766440201235,,86.21952810534764,,86.85495530465006,,10540500
2000-03-14,,86.81522369384766,,89.01936134938678,,86.51736725390992,,88.50307685349473,,8263900
2000-03-15,,88.84061431884766,,89.23775609050098,,86.45776368892774,,86.97404799207705,,10300800
2000-03-16,,92.99079895019531,,93.30851254900017,,89.51580646326724,,89.99237686147453,,25601400
2000-03-17,,93.60535430908203,,94.28221140106604,,92.64979135569284,,92.88868209404015,,10272900
2000-03-20,,93.12754821777344,,93.86412779965835,,92.23170818575124,,93.56551445565096,,12502300
2000-03-21,,95.0386962890625,,95.39703238734552,,92.05256213670401,,92.70951165022288,,13612600
2000-03-22,,95.61605072021484,,96.09383236029088,,94.72021014507229,,95.27762205849432,,8260000
2000-03-23,,97.24844360351562,,97.76604023272574,,95.01879658537976,,95.01879658537976,,11654500
2000-03-24,,97.82575988769531,,99.21928923082487,,96.65121372705754,,97.38779352271173,,11462900
2000-03-27,,96.79061126708984,,97.96515796901463,,96.71098098221358,,97.70635954316678,,8798600
2000-03-28,,96.23311614990234,,97.45743072235146,,95.93450283954891,,96.35256147404372,,6334400
2000-03-29,,96.33269500732422,,97.13895128915861,,95.33731688160273,,96.55167819498294,,6747500
2000-03-30,,94.72022247314453,,96.78065606414295,,93.72484392676847,,95.655878306738,,9491900
2000-03-31,,95.79521179199219,,97.0294809381068,,94.56094264587757,,95.3174301870446,,9249100
